kubectl logs -n kafka test-producer-2-xtgpd 
530028 records sent, 105772.9 records/sec (10.09 MB/sec), 998.9 ms avg latency, 1877.0 max latency.
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-1}     : 9.405
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-2}     : 7.851
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node--1}    : -Infinity
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-0}     : 300.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-1}     : 344.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-2}     : 205.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node--1}           : 0.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-0}            : 667.003
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-1}            : 518.128
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-2}            : 614.071
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node--1}       : 0.000
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-0}        : 12131.884
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-1}        : 15675.579
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-2}        : 13194.671
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node--1}       : -Infinity
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-0}        : 16462.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-1}        : 16462.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-2}        : 16462.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node--1}          : 2.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-0}           : 178384.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-1}           : 140071.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-2}           : 164930.000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node--1}          : 0.000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-0}           : 667.147
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-1}           : 518.258
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-2}           : 614.215
producer-node-metrics:response-total:{client-id=producer-1, node-id=node--1}         : 2.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-0}          : 178384.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-1}          : 140071.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-2}          : 164930.000
producer-topic-metrics:byte-rate:{client-id=producer-1, topic=test-rep-two}          : 24190939.061
producer-topic-metrics:byte-total:{client-id=producer-1, topic=test-rep-two}         : 6605551725.000
producer-topic-metrics:compression-rate:{client-id=producer-1, topic=test-rep-two}   : 1.000
producer-topic-metrics:record-error-rate:{client-id=producer-1, topic=test-rep-two}  : 0.000
producer-topic-metrics:record-error-total:{client-id=producer-1, topic=test-rep-two} : 0.000
producer-topic-metrics:record-retry-rate:{client-id=producer-1, topic=test-rep-two}  : 0.000
producer-topic-metrics:record-retry-total:{client-id=producer-1, topic=test-rep-two} : 0.000
producer-topic-metrics:record-send-rate:{client-id=producer-1, topic=test-rep-two}   : 219700.380
producer-topic-metrics:record-send-total:{client-id=producer-1, topic=test-rep-two}  : 60000000.000
