kubectl logs -n kafka test-producer-3-9gtfh 
672963 records sent, 134243.6 records/sec (12.80 MB/sec), 520.2 ms avg latency, 1407.0 max latency.
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-0}       : 9.127
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-1}       : 6.728
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-2}       : 6.604
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node--1}      : -Infinity
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-0}       : 297.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-1}       : 376.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-2}       : 227.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node--1}             : 0.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-0}              : 535.702
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-1}              : 712.176
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-2}              : 718.397
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node--1}         : 0.000
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-0}          : 15554.343
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-1}          : 11582.051
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-2}          : 11480.526
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node--1}         : -Infinity
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-0}          : 16464.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-1}          : 16464.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-2}          : 16464.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node--1}            : 2.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-0}             : 137551.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-1}             : 183802.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-2}             : 191664.000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node--1}            : 0.000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-0}             : 535.769
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-1}             : 712.248
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-2}             : 718.464
producer-node-metrics:response-total:{client-id=producer-1, node-id=node--1}           : 2.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-0}            : 137551.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-1}            : 183802.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-2}            : 191664.000
producer-topic-metrics:byte-rate:{client-id=producer-1, topic=test-rep-three}          : 24686699.793
producer-topic-metrics:byte-total:{client-id=producer-1, topic=test-rep-three}         : 6608852754.000
producer-topic-metrics:compression-rate:{client-id=producer-1, topic=test-rep-three}   : 1.000
producer-topic-metrics:record-error-rate:{client-id=producer-1, topic=test-rep-three}  : 0.000
producer-topic-metrics:record-error-total:{client-id=producer-1, topic=test-rep-three} : 0.000
producer-topic-metrics:record-retry-rate:{client-id=producer-1, topic=test-rep-three}  : 0.000
producer-topic-metrics:record-retry-total:{client-id=producer-1, topic=test-rep-three} : 0.000
producer-topic-metrics:record-send-rate:{client-id=producer-1, topic=test-rep-three}   : 224074.598
producer-topic-metrics:record-send-total:{client-id=producer-1, topic=test-rep-three}  : 60000000.000
